index,site,LU zone,LU Min,LU Max,LU Range,Terrain variability 500 m buffer,Terrain variability 1000 m buffer,Classific,Lithics (N),Cores (N),Tools (N),Altitude a.s.l.,Elevation above river (m),Relative hight in LUmin (%),DtR (m)cor,DtR (d2),EAR2+DtR2,orientation,Viewshed,Normalized height in Lu Min,index,Latitude,Longitude
26,Oslavany I - power station,Oslava_NE,198,489,291,38,79,EPIG,7,0.0,2,220,22,7.560137457044673,300,90000,90484,floodplain,1177,0.07560137457044673,26,16.343593784340495,49.12104086668979
27,Ostrov u Macochy III (Dolina),MKras,261,748,487,32,60,EAU,109,11.0,17,500,239,49.07597535934292,7450,55502500,55559621,top,1682,0.4907597535934292,27,16.7412097891724,49.393460883684135
28,Ostrožská Nová Ves,Morava_E,158,961,803,51,79,EPIG,111,3.0,16,185,12,1.4943960149439601,3350,11222500,11222644,W,101294,0.0149439601494396,28,17.44448408435955,49.01050003609176
29,Pístovice I,Litava_N,169,587,418,53,125,EPIG,4,0.0,0,321,152,36.36363636363637,14600,213160000,213183104,SE,16907,0.36363636363636365,29,16.908687229930774,49.27822089138643
30,Pístovice II,Litava_N,169,587,418,83,172,EPIG,85,10.0,3,370,201,48.08612440191388,12900,166410000,166450401,E,15828,0.48086124401913877,30,16.88634929611173,49.26421993745178
31,Pístovice III,Litava_N,169,587,418,68,168,EPIG,36,3.0,2,330,161,38.516746411483254,13750,189062500,189088421,NE,1751,0.38516746411483255,31,16.882937310006653,49.272116868816184
32,Pohořelice u Napajedel - Čtvrtky,Morava_E,158,961,803,63,105,EPIG,25,1.0,13,245,87,10.834371108343712,1450,2102500,2110069,W,99107,0.10834371108343711,32,17.537322882088024,49.18414279244863
33,Radslavice - Zelená hora ,MHana_N,178,744,566,57,107,EPIG,31,0.0,20,330,152,26.855123674911663,22150,490622500,490645604,top,16236,0.26855123674911663,33,17.008486421428874,49.325812014015355
34,Seloutky I,MHana_N,178,744,566,69,133,EAU,78*,3.0,23,320,142,25.08833922261484,16750,280562500,280582664,W,173065,0.2508833922261484,34,17.051505659901387,49.447126597095014
35,Senorady - Malá skála,Oslava_SW,220,490,270,79,131,EPIG,,,,401,181,67.03703703703704,130,16900,49661,top,169096,0.6703703703703704,35,16.2470986723971,49.13615177780704
36,Slatinice I,MHana_N,178,744,566,57,113,EAU,1477,89.0,351,316,138,24.381625441696116,12250,150062500,150081544,E,136119,0.24381625441696117,36,17.093075900289687,49.55583975679649
38,Sněhotice I,MHana_N,178,744,566,67,134,EAU,30,1.0,15,295,117,20.671378091872793,18600,345960000,345973689,E,123610,0.20671378091872794,38,17.04801119969065,49.36854055660673
40,Třebíč 1 (Ptáčov),Jihlava_W,381,662,281,42,73,EPIG,,,,390,9,3.202846975088968,190,36100,36181,S,280,0.03202846975088968,40,15.941033729039894,49.21561635571442
41,Uherské Hradiště - Mařatice Kolébky,Morava_E,158,961,803,60,114,EPIG,nenalezeno,,,260,102,12.702366127023662,2930,8584900,8595304,E,209153,0.12702366127023662,41,17.504497546511402,49.05865434228993
43,Určice II,MHana_N,178,744,566,58,144,EAU,,,,294,116,20.49469964664311,18250,333062500,333075956,E,136147,0.2049469964664311,43,17.057989522744123,49.43440760469196
44,Vedrovice XII,Jihlava_SW,160,421,261,44,102,EPIG,58,5.0,5,257,97,37.16475095785441,7640,58369600,58379009,SE,5917,0.3716475095785441,44,16.373814176172992,49.024308871772824
45,Velké Pavlovice,Dyje_N,153,455,302,48,74,EPIG,1,,,185,32,10.596026490066226,7700,59290000,59291024,E,18073,0.10596026490066227,45,16.8131942206731,48.909512097642
47,Zlín-Louky,Morava_E,158,961,803,44,123,EPIG,55,0.0,26,225,67,8.34371108343711,8550,73102500,73106989,NW,3485,0.08343711083437111,47,17.627416382482885,49.21651968663403
